date,year,admin1,market,category,commodity,unit,price,currency
2008-01-15,2008,Kachin,Wai Maw,cereals and tubers,Rice (low quality),KG,400.0,MMK
2008-01-15,2008,Kachin,Wai Maw,"meat, fish and eggs",Meat (chicken),KG,3636.36,MMK
2008-01-15,2008,Kachin,Wai Maw,"meat, fish and eggs",Meat (pork),KG,3636.36,MMK
2008-01-15,2008,Kachin,Wai Maw,miscellaneous food,Salt,KG,242.42,MMK
2008-01-15,2008,Kachin,Wai Maw,vegetables and fruits,Onions,KG,969.7,MMK
2008-01-15,2008,Magway,Magway,cereals and tubers,Potatoes,KG,242.42,MMK
2008-01-15,2008,Magway,Magway,vegetables and fruits,Tomatoes,KG,181.82,MMK
2008-01-15,2008,Magway,Yenanchaung,cereals and tubers,Rice (low quality),KG,900.0,MMK
2008-01-15,2008,Magway,Pakhangyi,cereals and tubers,Potatoes,KG,484.85,MMK
2008-01-15,2008,Magway,Pakhangyi,cereals and tubers,Rice (low quality),KG,541.67,MMK
2008-01-15,2008,Magway,Pakhangyi,vegetables and fruits,Tomatoes,KG,242.42,MMK
2008-01-15,2008,Rakhine,Alel Than Kyaw,cereals and tubers,Rice (low quality),KG,460.0,MMK
2008-01-15,2008,Rakhine,Alel Than Kyaw,oil and fats,Oil (palm),L,2000.0,MMK
2008-01-15,2008,Rakhine,Alel Than Kyaw,pulses and nuts,Chickpeas (local),KG,650.0,MMK
2008-01-15,2008,Rakhine,Buthidaung,oil and fats,Oil (palm),L,2000.0,MMK
2008-01-15,2008,Rakhine,Buthidaung,pulses and nuts,Chickpeas (local),KG,600.0,MMK
2008-01-15,2008,Rakhine,Kyein Chung,cereals and tubers,Rice (low quality),KG,500.0,MMK
2008-01-15,2008,Rakhine,Kyein Chung,oil and fats,Oil (palm),L,2000.0,MMK
2008-01-15,2008,Rakhine,Maungdaw,cereals and tubers,Rice (low quality),KG,450.0,MMK
2008-01-15,2008,Rakhine,Maungdaw,pulses and nuts,Chickpeas (local),KG,570.0,MMK
2008-01-15,2008,Rakhine,Myin Hlut,oil and fats,Oil (palm),L,1600.0,MMK
2008-01-15,2008,Rakhine,Myin Hlut,pulses and nuts,Chickpeas (local),KG,450.0,MMK
2008-01-15,2008,Rakhine,Nyaung Chung,oil and fats,Oil (palm),L,2000.0,MMK
2008-01-15,2008,Rakhine,Taung Bazzar,cereals and tubers,Rice (low quality),KG,400.0,MMK
2008-01-15,2008,Rakhine,Taung Bazzar,oil and fats,Oil (palm),L,2000.0,MMK
2008-01-15,2008,Rakhine,Taung Bazzar,pulses and nuts,Chickpeas (local),KG,600.0,MMK
2008-01-15,2008,Rakhine,Taung Pyo Let Wai,cereals and tubers,Rice (low quality),KG,500.0,MMK
2008-01-15,2008,Rakhine,Taung Pyo Let Wai,oil and fats,Oil (palm),L,1600.0,MMK
2008-01-15,2008,Rakhine,Taung Pyo Let Wai,pulses and nuts,Chickpeas (local),KG,500.0,MMK
2008-01-15,2008,Rakhine,Kha Mauck Siek,cereals and tubers,Rice (low quality),KG,390.0,MMK
2008-01-15,2008,Rakhine,Kha Mauck Siek,oil and fats,Oil (palm),L,2000.0,MMK
2008-01-15,2008,Rakhine,Kha Mauck Siek,pulses and nuts,Chickpeas (local),KG,620.0,MMK
2008-01-15,2008,Rakhine,Rathedaung,cereals and tubers,Rice (low quality),KG,350.0,MMK
2008-01-15,2008,Rakhine,Rathedaung,oil and fats,Oil (palm),L,1900.0,MMK
2008-01-15,2008,Rakhine,Zedi Pyin,cereals and tubers,Rice (low quality),KG,360.0,MMK
2008-01-15,2008,Rakhine,Zedi Pyin,oil and fats,Oil (palm),L,1900.0,MMK
2008-01-15,2008,Rakhine,Zedi Pyin,pulses and nuts,Chickpeas (local),KG,700.0,MMK
2008-01-15,2008,Shan (North),Kaung Ming Sang,vegetables and fruits,Onions,KG,1190.58,MMK
2008-01-15,2008,Shan (North),Long Tan,cereals and tubers,Rice (low quality),KG,446.47,MMK
2008-01-15,2008,Shan (North),Long Tan,vegetables and fruits,Onions,KG,1190.58,MMK
2008-01-15,2008,Shan (North),Man Pan,cereals and tubers,Maize,KG,212.12,MMK
2008-01-15,2008,Shan (North),Man Pan,cereals and tubers,Potatoes,KG,424.24,MMK
2008-01-15,2008,Shan (North),Man Pan,cereals and tubers,Rice (low quality),KG,400.0,MMK
2008-01-15,2008,Shan (North),Man Pan,vegetables and fruits,Onions,KG,727.27,MMK
2008-01-15,2008,Shan (North),Manton,cereals and tubers,Maize,KG,484.85,MMK
2008-01-15,2008,Shan (North),Manton,cereals and tubers,Rice (low quality),KG,750.0,MMK
2008-01-15,2008,Shan (North),Manton,oil and fats,Oil (palm),L,2363.64,MMK
2008-01-15,2008,Shan (North),Manton,pulses and nuts,Soybeans,KG,909.09,MMK
2008-01-15,2008,Shan (North),Manton,vegetables and fruits,Garlic,KG,1090.91,MMK
2008-01-15,2008,Shan (North),Manton,vegetables and fruits,Onions,KG,969.7,MMK
2008-01-15,2008,Shan (North),Lashio Market,cereals and tubers,Potatoes,KG,333.33,MMK
2008-01-15,2008,Shan (North),Lashio Market,pulses and nuts,Soybeans,KG,757.58,MMK
2008-01-15,2008,Shan (South),Hsihseng,cereals and tubers,Rice (low quality),KG,360.0,MMK
2008-01-15,2008,Shan (South),Hsihseng,"meat, fish and eggs",Meat (beef),KG,2424.24,MMK
2008-01-15,2008,Shan (South),Hsihseng,"meat, fish and eggs",Meat (chicken),KG,2909.09,MMK
2008-01-15,2008,Shan (South),Hsihseng,vegetables and fruits,Garlic,KG,909.09,MMK
2008-01-15,2008,Shan (South),Taunggyi,cereals and tubers,Rice (low quality),KG,320.0,MMK
2008-01-15,2008,Shan (South),Taunggyi,"meat, fish and eggs",Meat (beef),KG,2909.09,MMK
2008-01-15,2008,Shan (South),Taunggyi,"meat, fish and eggs",Meat (pork),KG,3515.15,MMK
2008-01-15,2008,Shan (South),Taunggyi,vegetables and fruits,Garlic,KG,606.06,MMK
2008-02-15,2008,Kachin,Wai Maw,cereals and tubers,Rice (low quality),KG,400.0,MMK
2008-02-15,2008,Kachin,Wai Maw,"meat, fish and eggs",Meat (chicken),KG,3636.36,MMK
2008-02-15,2008,Kachin,Wai Maw,"meat, fish and eggs",Meat (pork),KG,4242.42,MMK
2008-02-15,2008,Kachin,Wai Maw,vegetables and fruits,Onions,KG,1090.91,MMK
2008-02-15,2008,Magway,Magway,cereals and tubers,Potatoes,KG,242.42,MMK
2008-02-15,2008,Magway,Magway,cereals and tubers,Rice (low quality),KG,604.17,MMK
2008-02-15,2008,Magway,Pakhangyi,cereals and tubers,Potatoes,KG,363.64,MMK
2008-02-15,2008,Magway,Pakhangyi,cereals and tubers,Rice (low quality),KG,650.0,MMK
2008-02-15,2008,Rakhine,Buthidaung,pulses and nuts,Chickpeas (local),KG,600.0,MMK
2008-02-15,2008,Rakhine,Kyein Chung,cereals and tubers,Rice (low quality),KG,460.0,MMK
2008-02-15,2008,Rakhine,Kyein Chung,oil and fats,Oil (palm),L,2200.0,MMK
2008-02-15,2008,Rakhine,Maungdaw,cereals and tubers,Rice (low quality),KG,380.0,MMK
2008-02-15,2008,Rakhine,Maungdaw,pulses and nuts,Chickpeas (local),KG,580.0,MMK
2008-02-15,2008,Rakhine,Myin Hlut,cereals and tubers,Rice (low quality),KG,400.0,MMK
2008-02-15,2008,Rakhine,Myin Hlut,oil and fats,Oil (palm),L,2400.0,MMK
2008-02-15,2008,Rakhine,Myin Hlut,pulses and nuts,Chickpeas (local),KG,720.0,MMK
2008-02-15,2008,Rakhine,Nyaung Chung,cereals and tubers,Rice (low quality),KG,320.0,MMK
2008-02-15,2008,Rakhine,Nyaung Chung,oil and fats,Oil (palm),L,2000.0,MMK
2008-02-15,2008,Rakhine,Nyaung Chung,pulses and nuts,Chickpeas (local),KG,660.0,MMK
2008-02-15,2008,Rakhine,Taung Bazzar,oil and fats,Oil (palm),L,2400.0,MMK
2008-02-15,2008,Rakhine,Taung Bazzar,pulses and nuts,Chickpeas (local),KG,350.0,MMK
2008-02-15,2008,Rakhine,Taung Pyo Let Wai,cereals and tubers,Rice (low quality),KG,445.0,MMK
2008-02-15,2008,Rakhine,Taung Pyo Let Wai,oil and fats,Oil (palm),L,2400.0,MMK
2008-02-15,2008,Rakhine,Taung Pyo Let Wai,pulses and nuts,Chickpeas (local),KG,685.0,MMK
2008-02-15,2008,Rakhine,Kha Mauck Siek,cereals and tubers,Rice (low quality),KG,380.0,MMK
2008-02-15,2008,Rakhine,Kha Mauck Siek,pulses and nuts,Chickpeas (local),KG,685.0,MMK
2008-02-15,2008,Rakhine,Rathedaung,oil and fats,Oil (palm),L,2150.0,MMK
2008-02-15,2008,Rakhine,Rathedaung,pulses and nuts,Chickpeas (local),KG,1000.0,MMK
2008-02-15,2008,Rakhine,Zedi Pyin,oil and fats,Oil (palm),L,2100.0,MMK
2008-02-15,2008,Rakhine,Zedi Pyin,pulses and nuts,Chickpeas (local),KG,1000.0,MMK
2008-02-15,2008,Shan (North),Kaung Ming Sang,cereals and tubers,Rice (low quality),KG,446.47,MMK
2008-02-15,2008,Shan (North),Long Tan,cereals and tubers,Rice (low quality),KG,446.47,MMK
2008-02-15,2008,Shan (North),Man Pan,oil and fats,Oil (palm),L,2424.24,MMK
2008-02-15,2008,Shan (North),Man Pan,vegetables and fruits,Onions,KG,727.27,MMK
2008-02-15,2008,Shan (North),Manton,cereals and tubers,Potatoes,KG,424.24,MMK
2008-02-15,2008,Shan (North),Manton,oil and fats,Oil (palm),L,2393.94,MMK
2008-02-15,2008,Shan (North),Manton,vegetables and fruits,Onions,KG,909.09,MMK
2008-02-15,2008,Shan (North),Lashio Market,cereals and tubers,Potatoes,KG,363.64,MMK
2008-02-15,2008,Shan (North),Lashio Market,cereals and tubers,Rice (high quality),KG,850.0,MMK
2008-02-15,2008,Shan (North),Lashio Market,cereals and tubers,Rice (low quality),KG,550.0,MMK
2008-02-15,2008,Shan (North),Lashio Market,vegetables and fruits,Onions,KG,909.09,MMK
2008-02-15,2008,Shan (South),Hsihseng,cereals and tubers,Rice (low quality),KG,360.0,MMK
2008-02-15,2008,Shan (South),Hsihseng,"meat, fish and eggs",Meat (chicken),KG,2909.09,MMK
2008-02-15,2008,Shan (South),Hsihseng,"meat, fish and eggs",Meat (pork),KG,3636.36,MMK
2008-02-15,2008,Shan (South),Taunggyi,"meat, fish and eggs",Meat (chicken),KG,2727.27,MMK
2008-02-15,2008,Shan (South),Taunggyi,"meat, fish and eggs",Meat (pork),KG,3636.36,MMK
2008-02-15,2008,Shan (South),Taunggyi,miscellaneous food,Salt,KG,121.21,MMK
2008-03-15,2008,Kachin,Garayang,cereals and tubers,Rice (low quality),KG,400.0,MMK
2008-03-15,2008,Kachin,Nam San Yang,cereals and tubers,Rice (low quality),KG,500.0,MMK
2008-03-15,2008,Kachin,Sadung,cereals and tubers,Potatoes,KG,324.0,MMK
2008-03-15,2008,Kachin,Sadung,cereals and tubers,Rice (low quality),KG,600.0,MMK
2008-03-15,2008,Kachin,Sadung,vegetables and fruits,Tomatoes,KG,1298.0,MMK
2008-03-15,2008,Magway,Magway,cereals and tubers,Potatoes,KG,242.42,MMK
2008-03-15,2008,Rakhine,Alel Than Kyaw,cereals and tubers,Rice (low quality),KG,440.0,MMK
2008-03-15,2008,Rakhine,Alel Than Kyaw,oil and fats,Oil (palm),L,2200.0,MMK
2008-03-15,2008,Rakhine,Buthidaung,oil and fats,Oil (palm),L,1800.0,MMK
2008-03-15,2008,Rakhine,Kyein Chung,cereals and tubers,Rice (low quality),KG,450.0,MMK
2008-03-15,2008,Rakhine,Kyein Chung,pulses and nuts,Chickpeas (local),KG,900.0,MMK
2008-03-15,2008,Rakhine,Maungdaw,cereals and tubers,Rice (low quality),KG,370.0,MMK
